ticker,name,kind,exchange,benchmark
CFG,Citizens Financial Group,stock,,
CLX,Clorox,stock,,
CME,CME Group,stock,,
CMS,CMS Energy,stock,,
KO,Coca-Cola Company (The),stock,,
CTSH,Cognizant,stock,,
COHR,Coherent Corp.,stock,,
COIN,Coinbase,stock,,
CL,Colgate-Palmolive,stock,,
CMCSA,Comcast,stock,,
FIX,Comfort Systems USA,stock,,
CAG,Conagra Brands,stock,,
COP,ConocoPhillips,stock,,
ED,Consolidated Edison,stock,,
STZ,Constellation Brands,stock,,
CEG,Constellation Energy,stock,,
COO,Cooper Companies (The),stock,,
CPRT,Copart,stock,,
GLW,Corning Inc.,stock,,
CPAY,Corpay,stock,,
CTVA,Corteva,stock,,
CSGP,CoStar Group,stock,,
COST,Costco,stock,,
CRH,CRH plc,stock,,
CRWD,CrowdStrike,stock,,
CCI,Crown Castle,stock,,
CSX,CSX Corporation,stock,,
CMI,Cummins,stock,,
CVS,CVS Health,stock,,
DHR,Danaher Corporation,stock,,
DRI,Darden Restaurants,stock,,
DDOG,Datadog,stock,,
DVA,DaVita,stock,,
DECK,Deckers Brands,stock,,
DE,Deere & Company,stock,,
DELL,Dell Technologies,stock,,
DAL,Delta Air Lines,stock,,
DVN,Devon Energy,stock,,
DXCM,Dexcom,stock,,
FANG,Diamondback Energy,stock,,
DLR,Digital Realty,stock,,
DG,Dollar General,stock,,
DLTR,Dollar Tree,stock,,
D,Dominion Energy,stock,,
DPZ,Domino's,stock,,
DASH,DoorDash,stock,,
DOV,Dover Corporation,stock,,
DOW,Dow Inc.,stock,,
DHI,D. R. Horton,stock,,
DTE,DTE Energy,stock,,
DUK,Duke Energy,stock,,
DD,DuPont,stock,,
ETN,Eaton Corporation,stock,,
EBAY,eBay Inc.,stock,,
SATS,EchoStar,stock,,
ECL,Ecolab,stock,,
EIX,Edison International,stock,,
EW,Edwards Lifesciences,stock,,
EA,Electronic Arts,stock,,
ELV,Elevance Health,stock,,
EME,Emcor,stock,,
EMR,Emerson Electric,stock,,
ETR,Entergy,stock,,
EOG,EOG Resources,stock,,
EPAM,EPAM Systems,stock,,
EQT,EQT Corporation,stock,,
EFX,Equifax,stock,,
EQIX,Equinix,stock,,
EQR,Equity Residential,stock,,
ERIE,Erie Indemnity,stock,,
ESS,Essex Property Trust,stock,,
EL,Estée Lauder Companies (The),stock,,
EG,Everest Group,stock,,
EVRG,Evergy,stock,,
ES,Eversource Energy,stock,,
EXC,Exelon,stock,,
EXE,Expand Energy,stock,,
EXPE,Expedia Group,stock,,
EXPD,Expeditors International,stock,,
EXR,Extra Space Storage,stock,,
XOM,ExxonMobil,stock,,
FFIV,"F5, Inc.",stock,,
FDS,FactSet,stock,,
FICO,Fair Isaac,stock,,
FAST,Fastenal,stock,,
FRT,Federal Realty Investment Trust,stock,,
FDX,FedEx,stock,,
FIS,Fidelity National Information Services,stock,,
FITB,Fifth Third Bancorp,stock,,
FSLR,First Solar,stock,,
FE,FirstEnergy,stock,,
FISV,Fiserv,stock,,
F,Ford Motor Company,stock,,
FTNT,Fortinet,stock,,
FTV,Fortive,stock,,
FOXA,Fox Corporation (Class A),stock,,
FOX,Fox Corporation (Class B),stock,,
BEN,Franklin Resources,stock,,
FCX,Freeport-McMoRan,stock,,
GRMN,Garmin,stock,,
IT,Gartner,stock,,
